Social Support,Happiness Score,Happiness Rank,Year,Country,Life Expectancy,Generosity,Economy GPD,Government Corruption,Freedom,Region
1.02,6.798,24,2015,Singapore,1.02525,0.31105,1.52186,0.4921,0.54252,Southeast Asia
1.1985,6.786,25,2015,Panama,0.79661,0.24434,1.06353,0.0927,0.5421,Latin America and the Caribbean
1.29937,6.75,26,2015,Germany,0.89186,0.28214,1.32792,0.21843,0.61477,Western Europe
1.12447,6.67,27,2015,Chile,0.85857,0.33363,1.10715,0.12869,0.44132,Latin America and the Caribbean
1.0786,6.611,28,2015,Qatar,0.79733,0.32573,1.69042,0.52208,0.6404,Middle East and North Africa
1.26038,6.575,29,2015,France,0.94579,0.12332,1.27778,0.20646,0.55011,Western Europe
1.24823,6.574,30,2015,Argentina,0.78723,0.11451,1.05351,0.08484,0.44974,Latin America and the Caribbean
1.20643,6.505,31,2015,Czech Republic,0.84483,0.10686,1.17898,0.02652,0.46364,Central and Eastern Europe
1.2089,6.485,32,2015,Uruguay,0.8116,0.2324,1.06166,0.24558,0.60362,Latin America and the Caribbean
1.24018,6.477,33,2015,Colombia,0.69077,0.18401,0.91861,0.0512,0.53466,Latin America and the Caribbean
1.26504,6.455,34,2015,Thailand,0.7385,0.5763,0.9669,0.03187,0.55664,Southeast Asia
1.08393,6.411,35,2015,Saudi Arabia,0.72025,0.13706,1.39541,0.32524,0.31048,Middle East and North Africa
1.31379,6.329,36,2015,Spain,0.95562,0.18227,1.23011,0.06398,0.45951,Western Europe
1.30203,6.302,37,2015,Malta,0.88721,0.51752,1.2074,0.13586,0.60365,Western Europe
1.07617,6.298,38,2015,Taiwan,0.8753,0.25376,1.29098,0.08129,0.3974,East Asia
1.16594,6.295,39,2015,Kuwait,0.72492,0.16228,1.55422,0.25609,0.55499,Middle East and North Africa
0.972,6.269,40,2015,Suriname,0.6082,0.16991,0.99534,0.13633,0.59657,Latin America and the Caribbean
1.18354,6.168,41,2015,Trinidad and Tobago,0.61483,0.31844,1.21183,0.0114,0.55884,Latin America and the Caribbean
1.02507,6.13,42,2015,El Salvador,0.67737,0.10692,0.76454,0.11776,0.4035,Latin America and the Caribbean
1.04356,6.123,43,2015,Guatemala,0.64425,0.27489,0.74553,0.09472,0.57733,Latin America and the Caribbean
1.34043,6.003,44,2015,Uzbekistan,0.59772,0.22837,0.63244,0.30826,0.65821,CIS
1.26999,5.995,45,2015,Slovakia,0.78902,0.16893,1.16891,0.03431,0.31751,Central and Eastern Europe
1.25712,5.987,46,2015,Japan,0.99111,0.10705,1.27074,0.1806,0.49615,East Asia
0.95774,5.984,47,2015,South Korea,0.96538,0.18557,1.24461,0.07857,0.33208,East Asia
0.99903,5.975,48,2015,Ecuador,0.79075,0.11541,0.86402,0.1809,0.48574,Latin America and the Caribbean
1.21624,5.96,49,2015,Bahrain,0.74716,0.17362,1.32376,0.306,0.45492,Middle East and North Africa
1.19777,5.948,50,2015,Italy,0.95446,0.22823,1.25114,0.02901,0.26236,Western Europe
0.97841,5.89,51,2015,Bolivia,0.5392,0.20536,0.68133,0.088,0.57414,Latin America and the Caribbean
1.01528,5.889,52,2015,Moldova,0.61826,0.20951,0.59448,0.01615,0.32818,CIS
1.30477,5.878,53,2015,Paraguay,0.66098,0.3424,0.75985,0.08242,0.53899,Latin America and the Caribbean
1.12241,5.855,54,2015,Kazakhstan,0.64368,0.11827,1.12254,0.08454,0.51649,CIS
1.27385,5.848,55,2015,Slovenia,0.87337,0.25328,1.18498,0.03787,0.60855,Central and Eastern Europe
1.25745,5.833,56,2015,Lithuania,0.73128,0.02641,1.14723,0.01031,0.21342,Central and Eastern Europe
1.14184,5.828,57,2015,Nicaragua,0.74314,0.27815,0.59325,0.19317,0.55475,Latin America and the Caribbean
0.97459,5.824,58,2015,Peru,0.73017,0.14982,0.90019,0.05989,0.41496,Latin America and the Caribbean
1.23289,5.813,59,2015,Belarus,0.73608,0.11046,1.03192,0.1909,0.37938,CIS
1.27948,5.791,60,2015,Poland,0.77903,0.16759,1.12555,0.04212,0.53122,Central and Eastern Europe
1.07023,5.77,61,2015,Malaysia,0.72394,0.33075,1.12486,0.10501,0.53024,Southeast Asia
0.79624,5.759,62,2015,Croatia,0.78805,0.05444,1.08254,0.0243,0.25883,Central and Eastern Europe
1.11862,5.754,63,2015,Libya,0.7038,0.18295,1.13145,0.11023,0.41668,Middle East and North Africa
1.23617,5.716,64,2015,Russia,0.66926,0.00199,1.13764,0.03005,0.36679,CIS
1.15102,5.709,65,2015,Jamaica,0.68741,0.2123,0.81038,0.02299,0.50442,Latin America and the Caribbean
1.07008,5.695,66,2015,North Cyprus,0.92356,0.26169,1.20806,0.1428,0.49027,Central and Eastern Europe
0.89318,5.689,67,2015,Cyprus,0.92356,0.30638,1.20813,0.06146,0.40672,Middle East and North Africa
1.07772,5.605,68,2015,Algeria,0.61766,0.07822,0.93929,0.17383,0.28579,Middle East and North Africa
0.81198,5.589,69,2015,Kosovo,0.63132,0.2831,0.80148,0.04741,0.24749,Central and Eastern Europe
1.22668,5.548,70,2015,Turkmenistan,0.53886,0.16979,0.95847,0.30844,0.4761,CIS
0.98521,5.477,71,2015,Mauritius,0.7095,0.37744,1.00761,0.07521,0.56066,Sub-Saharan Africa
1.05818,5.474,72,2015,Hong Kong,1.01328,0.39478,1.38604,0.37124,0.59608,East Asia
1.22791,5.429,73,2015,Estonia,0.77361,0.0868,1.15174,0.15184,0.44888,Central and Eastern Europe
1.08708,5.399,74,2015,Indonesia,0.63793,0.51535,0.82827,0.0,0.46611,Southeast Asia
0.91226,5.36,75,2015,Vietnam,0.74676,0.1686,0.63216,0.10441,0.59444,Southeast Asia
0.94632,5.332,76,2015,Turkey,0.73172,0.12253,1.06098,0.15746,0.22815,Middle East and North Africa
1.15115,5.286,77,2015,Kyrgyzstan,0.65088,0.3003,0.47428,0.04232,0.43477,CIS
0.90432,5.268,78,2015,Nigeria,0.16007,0.27233,0.65435,0.0403,0.34334,Sub-Saharan Africa
1.10395,5.253,79,2015,Bhutan,0.57407,0.47998,0.77042,0.15445,0.53206,South Asia
0.93793,5.212,80,2015,Azerbaijan,0.64045,0.07799,1.02389,0.16065,0.3703,CIS
0.41411,5.194,81,2015,Pakistan,0.51466,0.33671,0.59543,0.10464,0.12102,South Asia
1.05392,5.192,82,2015,Jordan,0.69639,0.11053,0.90198,0.14293,0.40661,Middle East and North Africa
0.90557,5.192,82,2015,Montenegro,0.72521,0.1614,0.97438,0.14296,0.1826,Central and Eastern Europe
0.94675,5.14,84,2015,China,0.81658,0.08185,0.89012,0.02781,0.51697,East Asia
0.91612,5.129,85,2015,Zambia,0.29924,0.19591,0.47038,0.12468,0.48827,Sub-Saharan Africa
0.88588,5.124,86,2015,Romania,0.7689,0.13748,1.04345,0.00649,0.35068,Central and Eastern Europe
1.00964,5.123,87,2015,Serbia,0.74836,0.19231,0.92053,0.02617,0.20107,Central and Eastern Europe
1.13935,5.102,88,2015,Portugal,0.87519,0.13719,1.15991,0.01078,0.51469,Western Europe
1.09562,5.098,89,2015,Latvia,0.72437,0.18226,1.11312,0.06332,0.29671,Central and Eastern Europe
1.03516,5.073,90,2015,Philippines,0.58114,0.24991,0.70532,0.12279,0.62545,Southeast Asia
0.95152,5.057,91,2015,Somaliland region,0.43873,0.50318,0.18847,0.39928,0.46582,Sub-Saharan Africa
0.64095,5.013,92,2015,Morocco,0.60954,0.07172,0.73479,0.08546,0.41691,Middle East and North Africa
1.00232,5.007,93,2015,Macedonia,0.73545,0.22359,0.91851,0.05327,0.33457,Central and Eastern Europe
1.02626,4.971,94,2015,Mozambique,0.09131,0.22269,0.08308,0.15603,0.34037,Sub-Saharan Africa
0.80434,4.959,95,2015,Albania,0.81325,0.14272,0.87867,0.06413,0.35733,Central and Eastern Europe
0.91916,4.949,96,2015,Bosnia and Herzegovina,0.79081,0.24808,0.83223,0.00227,0.09245,Central and Eastern Europe
1.04103,4.898,97,2015,Lesotho,0.07612,0.16388,0.37545,0.12504,0.31767,Sub-Saharan Africa
1.17202,4.885,98,2015,Dominican Republic,0.66825,0.21684,0.89537,0.14234,0.57672,Latin America and the Caribbean
0.73803,4.876,99,2015,Laos,0.54909,0.42192,0.59066,0.24249,0.59591,Southeast Asia
1.3006,4.874,100,2015,Mongolia,0.60268,0.3323,0.82819,0.02666,0.43626,East Asia
1.07284,4.867,101,2015,Swaziland,0.07566,0.18259,0.71206,0.0306,0.30658,Sub-Saharan Africa
0.92933,4.857,102,2015,Greece,0.88213,0.0,1.15406,0.01397,0.07699,Western Europe
0.80001,4.839,103,2015,Lebanon,0.83947,0.21854,1.02564,0.04582,0.33916,Middle East and North Africa
1.20215,4.8,104,2015,Hungary,0.75905,0.128,1.12094,0.02758,0.32112,Central and Eastern Europe
0.95348,4.788,105,2015,Honduras,0.6951,0.23027,0.59532,0.06825,0.40148,Latin America and the Caribbean
0.85563,4.786,106,2015,Tajikistan,0.57379,0.22974,0.39047,0.15072,0.47216,CIS
0.60429,4.739,107,2015,Tunisia,0.73793,0.06431,0.88113,0.06358,0.26268,Middle East and North Africa
0.92558,4.715,108,2015,Palestinian Territories,0.66015,0.11251,0.59867,0.12905,0.24499,Middle East and North Africa
0.43106,4.694,109,2015,Bangladesh,0.60164,0.21222,0.39753,0.12569,0.4082,South Asia
0.54447,4.686,110,2015,Iran,0.69805,0.38086,1.0088,0.05863,0.30033,Middle East and North Africa
1.20278,4.681,111,2015,Ukraine,0.6739,0.15275,0.79907,0.02961,0.25123,CIS
0.81889,4.677,112,2015,Iraq,0.60237,0.17922,0.98549,0.13788,0.0,Middle East and North Africa
1.18468,4.642,113,2015,South Africa,0.27688,0.11973,0.92049,0.08884,0.33207,Sub-Saharan Africa
0.67954,4.633,114,2015,Ghana,0.40132,0.23087,0.54558,0.04355,0.42342,Sub-Saharan Africa
1.03276,4.61,115,2015,Zimbabwe,0.33475,0.18987,0.271,0.08079,0.25861,Sub-Saharan Africa
0.78968,4.571,116,2015,Liberia,0.34201,0.24362,0.0712,0.06232,0.28531,Sub-Saharan Africa
0.38174,4.565,117,2015,India,0.51529,0.26475,0.64499,0.08492,0.39786,South Asia
1.01404,4.55,118,2015,Sudan,0.36878,0.19062,0.52107,0.1466,0.10081,Sub-Saharan Africa
0.74302,4.518,119,2015,Haiti,0.38847,0.46187,0.26673,0.17175,0.24425,Latin America and the Caribbean
1.0012,4.517,120,2015,Congo (Kinshasa),0.09806,0.24834,0.0,0.07625,0.22605,Sub-Saharan Africa
0.86449,4.514,121,2015,Nepal,0.56874,0.32296,0.35997,0.05907,0.38282,South Asia
0.60406,4.512,122,2015,Ethiopia,0.44055,0.24325,0.19073,0.15048,0.4345,Sub-Saharan Africa
0.95571,4.507,123,2015,Sierra Leone,0.0,0.21488,0.33024,0.08786,0.4084,Sub-Saharan Africa
0.86908,4.436,124,2015,Mauritania,0.35874,0.219,0.45407,0.17461,0.24232,Sub-Saharan Africa
0.99876,4.419,125,2015,Kenya,0.41435,0.37542,0.36471,0.05839,0.42215,Sub-Saharan Africa
0.59207,4.369,126,2015,Djibouti,0.36291,0.18093,0.44025,0.28105,0.46074,Sub-Saharan Africa
0.77711,4.35,127,2015,Armenia,0.7299,0.07855,0.76821,0.039,0.19847,CIS
1.10464,4.332,128,2015,Botswana,0.04776,0.10461,0.99355,0.12474,0.49495,Sub-Saharan Africa
0.70905,4.307,129,2015,Myanmar,0.48246,0.79588,0.27108,0.19034,0.44017,Southeast Asia
0.38562,4.297,130,2015,Georgia,0.72926,0.05547,0.7419,0.38331,0.40577,CIS
0.41134,4.292,131,2015,Malawi,0.22562,0.33128,0.01604,0.06977,0.43054,Sub-Saharan Africa
1.01905,4.271,132,2015,Sri Lanka,0.70806,0.40828,0.83524,0.09179,0.53726,South Asia
0.88767,4.252,133,2015,Cameroon,0.23402,0.20618,0.4225,0.05786,0.49309,Sub-Saharan Africa
1.10614,4.218,134,2015,Bulgaria,0.76649,0.11921,1.01216,0.00872,0.30587,Central and Eastern Europe
0.747,4.194,135,2015,Egypt,0.61712,0.11291,0.8818,0.06324,0.17288,Middle East and North Africa
0.68093,4.077,136,2015,Yemen,0.40064,0.09131,0.54649,0.07854,0.35571,Middle East and North Africa
0.8604,4.033,137,2015,Angola,0.16683,0.12344,0.75778,0.07122,0.10384,Sub-Saharan Africa
1.03526,3.995,138,2015,Mali,0.20583,0.18798,0.26074,0.12352,0.38857,Sub-Saharan Africa
0.6629,3.989,139,2015,Congo (Brazzaville),0.31051,0.12388,0.67866,0.11686,0.41466,Sub-Saharan Africa
0.79273,3.956,140,2015,Comoros,0.36315,0.17441,0.23906,0.199,0.22917,Sub-Saharan Africa
1.13299,3.931,141,2015,Uganda,0.33861,0.29066,0.21102,0.07267,0.45727,Sub-Saharan Africa
0.97619,3.904,142,2015,Senegal,0.4354,0.20843,0.36498,0.10713,0.36772,Sub-Saharan Africa
0.90528,3.896,143,2015,Gabon,0.43372,0.06822,1.06024,0.11091,0.31914,Sub-Saharan Africa
0.77265,3.845,144,2015,Niger,0.29707,0.19387,0.0694,0.15639,0.47692,Sub-Saharan Africa
0.62736,3.819,145,2015,Cambodia,0.61114,0.40359,0.46038,0.07247,0.66246,Southeast Asia
1.00268,3.781,146,2015,Tanzania,0.38215,0.34377,0.2852,0.05747,0.32878,Sub-Saharan Africa
0.66801,3.681,147,2015,Madagascar,0.46721,0.21333,0.20824,0.08124,0.19184,Sub-Saharan Africa
0.0,3.678,148,2015,Central African Republic,0.06699,0.23835,0.0785,0.08289,0.48879,Sub-Saharan Africa
0.76062,3.667,149,2015,Chad,0.1501,0.18386,0.34193,0.05269,0.23501,Sub-Saharan Africa
0.46475,3.656,150,2015,Guinea,0.24009,0.28657,0.17417,0.12139,0.37725,Sub-Saharan Africa
0.77115,3.655,151,2015,Ivory Coast,0.15185,0.20165,0.46534,0.17922,0.46866,Sub-Saharan Africa
0.85188,3.587,152,2015,Burkina Faso,0.27125,0.21747,0.25812,0.12832,0.39493,Sub-Saharan Africa
0.30285,3.575,153,2015,Afghanistan,0.30335,0.3651,0.31982,0.09719,0.23414,South Asia
0.7737,3.465,154,2015,Rwanda,0.42864,0.22628,0.22208,0.55191,0.59201,Sub-Saharan Africa
0.35386,3.34,155,2015,Benin,0.3191,0.1826,0.28665,0.0801,0.4845,Sub-Saharan Africa
0.47489,3.006,156,2015,Syria,0.72193,0.47179,0.6632,0.18906,0.15684,Middle East and North Africa
0.41587,2.905,157,2015,Burundi,0.22396,0.19727,0.0153,0.10062,0.1185,Sub-Saharan Africa
0.13995,2.839,158,2015,Togo,0.28443,0.16681,0.20868,0.10731,0.36453,Sub-Saharan Africa
1.16374,7.526,1,2016,Denmark,0.79504,0.36171,1.44178,0.44453,0.57941,Western Europe
1.14524,7.509,2,2016,Switzerland,0.86303,0.28083,1.52733,0.41203,0.58557,Western Europe
1.18326,7.501,3,2016,Iceland,0.86733,0.47678,1.42666,0.14975,0.56624,Western Europe
1.1269,7.498,4,2016,Norway,0.79579,0.37895,1.57744,0.35776,0.59609,Western Europe
1.13464,7.413,5,2016,Finland,0.81091,0.25492,1.40598,0.41004,0.57104,Western Europe
1.0961,7.404,6,2016,Canada,0.8276,0.44834,1.44015,0.31329,0.5737,North America and ANZ
1.02912,7.339,7,2016,Netherlands,0.81231,0.47416,1.46468,0.29927,0.55211,Western Europe
1.17278,7.334,8,2016,New Zealand,0.83096,0.49401,1.36066,0.41904,0.58147,North America and ANZ
1.10476,7.313,9,2016,Australia,0.8512,0.47407,1.44443,0.32331,0.56837,North America and ANZ
1.08764,7.291,10,2016,Sweden,0.83121,0.38254,1.45181,0.40867,0.58218,Western Europe
0.99537,7.267,11,2016,Israel,0.84917,0.32288,1.33766,0.08728,0.36432,Middle East and North Africa
1.08383,7.119,12,2016,Austria,0.80565,0.32865,1.45038,0.21348,0.54355,Western Europe
1.04782,7.104,13,2016,United States,0.779,0.41077,1.50796,0.14868,0.48163,North America and ANZ
1.02152,7.087,14,2016,Costa Rica,0.76146,0.22553,1.06879,0.10547,0.55225,Latin America and the Caribbean
1.08113,7.039,15,2016,Puerto Rico,0.77758,0.22202,1.35943,0.12275,0.46823,Latin America and the Caribbean
1.09774,6.994,16,2016,Germany,0.81487,0.30452,1.44787,0.28551,0.53466,Western Europe
1.03938,6.952,17,2016,Brazil,0.61415,0.15776,1.08754,0.14166,0.40425,Latin America and the Caribbean
1.05249,6.929,18,2016,Belgium,0.81959,0.2424,1.42539,0.26248,0.51354,Western Europe
1.16157,6.907,19,2016,Ireland,0.81455,0.44963,1.48341,0.29754,0.54008,Western Europe
1.03999,6.871,20,2016,Luxembourg,0.84542,0.27571,1.69752,0.35329,0.5487,Western Europe
0.7146,6.778,21,2016,Mexico,0.71143,0.11735,1.11508,0.18355,0.37709,Latin America and the Caribbean
0.86758,6.739,22,2016,Singapore,0.94719,0.32706,1.64555,0.46987,0.4877,Southeast Asia
1.08672,6.725,23,2016,United Kingdom,0.80991,0.50156,1.40283,0.27399,0.50036,Western Europe
0.90587,6.705,24,2016,Chile,0.81883,0.31595,1.2167,0.11451,0.37789,Latin America and the Caribbean
0.98912,6.701,25,2016,Panama,0.70835,0.2418,1.18306,0.08423,0.48927,Latin America and the Caribbean
1.06612,6.65,26,2016,Argentina,0.69711,0.10989,1.15137,0.07296,0.42284,Latin America and the Caribbean
1.00793,6.596,27,2016,Czech Republic,0.76376,0.09929,1.30915,0.03986,0.41418,Central and Eastern Europe
0.87114,6.573,28,2016,United Arab Emirates,0.72993,0.26591,1.57352,0.35561,0.56215,Middle East and North Africa
1.03143,6.545,29,2016,Uruguay,0.72183,0.18056,1.18157,0.21394,0.54388,Latin America and the Caribbean
1.09879,6.488,30,2016,Malta,0.80315,0.56237,1.30782,0.17554,0.54994,Western Europe
1.02169,6.481,31,2016,Colombia,0.59659,0.15626,1.03032,0.05399,0.44735,Latin America and the Caribbean
1.00508,6.478,32,2016,France,0.83795,0.1216,1.39488,0.17808,0.46562,Western Europe
1.04477,6.474,33,2016,Thailand,0.64915,0.58696,1.0893,0.02833,0.49553,Southeast Asia
0.84829,6.379,34,2016,Saudi Arabia,0.59267,0.15457,1.48953,0.30008,0.37904,Middle East and North Africa
0.92624,6.379,34,2016,Taiwan,0.79565,0.25495,1.39729,0.0663,0.32377,East Asia
0.87964,6.375,36,2016,Qatar,0.71723,0.32388,1.82427,0.48049,0.56679,Middle East and North Africa
1.12945,6.361,37,2016,Spain,0.87896,0.17665,1.34253,0.06137,0.37545,Western Europe
0.83309,6.355,38,2016,Algeria,0.61804,0.07044,1.05266,0.16157,0.21006,Middle East and North Africa
0.87119,6.324,39,2016,Guatemala,0.54039,0.28808,0.83454,0.08701,0.50379,Latin America and the Caribbean
0.77866,6.269,40,2016,Suriname,0.50933,0.16665,1.09686,0.12692,0.52234,Latin America and the Caribbean
0.87758,6.239,41,2016,Kuwait,0.63569,0.15965,1.61714,0.23669,0.43166,Middle East and North Africa
0.94397,6.218,42,2016,Bahrain,0.65696,0.17147,1.44024,0.25772,0.47375,Middle East and North Africa
0.98569,6.168,43,2016,Trinidad and Tobago,0.52608,0.31935,1.32572,0.01241,0.48453,Latin America and the Caribbean
1.03302,6.084,44,2016,Venezuela,0.61904,0.0425,1.13367,0.08304,0.19847,Latin America and the Caribbean
1.08268,6.078,45,2016,Slovakia,0.70367,0.13837,1.27973,0.02947,0.23391,Central and Eastern Europe
0.80975,6.068,46,2016,El Salvador,0.596,0.08877,0.8737,0.10613,0.37269,Latin America and the Caribbean
0.88025,6.005,47,2016,Malaysia,0.62366,0.41474,1.25142,0.09081,0.39031,Southeast Asia
0.89521,5.992,48,2016,Nicaragua,0.65213,0.29773,0.69384,0.16292,0.46582,Latin America and the Caribbean
1.1681,5.987,49,2016,Uzbekistan,0.50163,0.34326,0.73591,0.28333,0.60848,CIS
1.04167,5.977,50,2016,Italy,0.85102,0.16684,1.35495,0.02556,0.18827,Western Europe
0.85974,5.976,51,2016,Ecuador,0.68613,0.10074,0.97306,0.18037,0.4027,Latin America and the Caribbean
0.68655,5.956,52,2016,Belize,0.45569,0.23684,0.87616,0.10771,0.51231,Latin America and the Caribbean
1.06054,5.921,53,2016,Japan,0.91491,0.10224,1.38007,0.18985,0.46761,East Asia
0.95544,5.919,54,2016,Kazakhstan,0.57386,0.15011,1.22943,0.11132,0.4052,CIS
0.83132,5.897,55,2016,Moldova,0.52309,0.19997,0.69177,0.01903,0.25202,CIS
1.05261,5.856,56,2016,Russia,0.58991,0.02736,1.23228,0.03586,0.32682,CIS
1.04685,5.835,57,2016,Poland,0.69058,0.14443,1.24585,0.055,0.4519,Central and Eastern Europe
0.72194,5.835,57,2016,South Korea,0.88645,0.18824,1.35948,0.07716,0.25168,East Asia
0.83779,5.822,59,2016,Bolivia,0.4697,0.21698,0.79422,0.07746,0.50961,Latin America and the Caribbean
1.06411,5.813,60,2016,Lithuania,0.64674,0.02025,1.2692,0.0182,0.18929,Central and Eastern Europe
1.04993,5.802,61,2016,Belarus,0.63104,0.13942,1.13062,0.17457,0.29091,CIS
0.81826,5.771,62,2016,North Cyprus,0.84142,0.26322,1.31141,0.16578,0.43596,Central and Eastern Europe
1.05613,5.768,63,2016,Slovenia,0.79151,0.25738,1.29947,0.03635,0.53164,Central and Eastern Europe
0.81255,5.743,64,2016,Peru,0.62994,0.14527,0.99602,0.05292,0.37502,Latin America and the Caribbean
1.03817,5.658,65,2016,Turkmenistan,0.44006,0.22567,1.08017,0.28467,0.37408,CIS
0.75695,5.648,66,2016,Mauritius,0.66189,0.36951,1.14372,0.05203,0.46145,Sub-Saharan Africa
0.95076,5.615,67,2016,Libya,0.52304,0.17087,1.06688,0.10339,0.40672,Middle East and North Africa
0.95025,5.56,68,2016,Latvia,0.63952,0.17445,1.21788,0.0889,0.27996,Central and Eastern Europe
0.70697,5.546,69,2016,Cyprus,0.8488,0.27906,1.31857,0.05228,0.29507,Middle East and North Africa
1.11111,5.538,70,2016,Paraguay,0.58295,0.25296,0.89373,0.07396,0.46235,Latin America and the Caribbean
0.72803,5.528,71,2016,Romania,0.67602,0.12889,1.1697,0.00679,0.36712,Central and Eastern Europe
1.05163,5.517,72,2016,Estonia,0.68098,0.08423,1.27964,0.18519,0.41511,Central and Eastern Europe
0.96372,5.51,73,2016,Jamaica,0.59469,0.22245,0.89333,0.04294,0.43597,Latin America and the Caribbean
0.60809,5.488,74,2016,Croatia,0.70524,0.18434,1.18649,0.04002,0.23907,Central and Eastern Europe
0.87021,5.458,75,2016,Hong Kong,0.95277,0.40097,1.5107,0.31647,0.48079,East Asia
0.33613,5.44,76,2016,Somalia,0.11466,0.27225,0.0,0.3118,0.56778,Sub-Saharan Africa
0.66062,5.401,77,2016,Kosovo,0.54,0.27992,0.90145,0.06547,0.14396,Central and Eastern Europe
0.87717,5.389,78,2016,Turkey,0.64718,0.04707,1.16492,0.12348,0.23889,Middle East and North Africa
0.87625,5.314,79,2016,Indonesia,0.49374,0.56521,0.95104,0.00322,0.39237,Southeast Asia
0.86216,5.303,80,2016,Jordan,0.60712,0.14262,0.99673,0.13297,0.36023,Middle East and North Africa
0.76042,5.291,81,2016,Azerbaijan,0.54504,0.0564,1.12373,0.17914,0.35327,CIS
0.87877,5.279,82,2016,Philippines,0.47036,0.21674,0.81217,0.11757,0.54854,Southeast Asia
0.79381,5.245,83,2016,China,0.73561,0.04959,1.0278,0.02745,0.44012,East Asia
0.90836,5.196,84,2016,Bhutan,0.49759,0.48546,0.8527,0.1616,0.46074,South Asia
0.95434,5.185,85,2016,Kyrgyzstan,0.55449,0.38432,0.56044,0.04762,0.40212,CIS
0.81329,5.177,86,2016,Serbia,0.6458,0.20737,1.03437,0.04339,0.15718,Central and Eastern Europe
0.64367,5.163,87,2016,Bosnia and Herzegovina,0.70766,0.29889,0.93383,0.0,0.09511,Central and Eastern Europe
0.74173,5.161,88,2016,Montenegro,0.63533,0.17191,1.07838,0.12721,0.15111,Central and Eastern Europe
0.99496,5.155,89,2016,Dominican Republic,0.57669,0.21286,1.02787,0.12372,0.52259,Latin America and the Caribbean
0.38595,5.151,90,2016,Morocco,0.59471,0.04053,0.84058,0.08404,0.25646,Middle East and North Africa
0.93164,5.145,91,2016,Hungary,0.67608,0.099,1.24142,0.04472,0.1977,Central and Eastern Europe
0.26135,5.132,92,2016,Pakistan,0.40306,0.31185,0.68816,0.1388,0.14622,South Asia
0.64184,5.129,93,2016,Lebanon,0.76171,0.23693,1.12268,0.03061,0.26228,Middle East and North Africa
0.94367,5.123,94,2016,Portugal,0.79363,0.11691,1.27607,0.01521,0.44727,Western Europe
0.78236,5.121,95,2016,Macedonia,0.64738,0.23507,1.0193,0.07047,0.27668,Central and Eastern Europe
0.79117,5.061,96,2016,Vietnam,0.66157,0.25075,0.74037,0.11556,0.55954,Southeast Asia
0.75862,5.057,97,2016,Somaliland Region,0.33108,0.51479,0.25558,0.36794,0.3913,Sub-Saharan Africa
0.43165,5.045,98,2016,Tunisia,0.59577,0.03936,0.97724,0.0817,0.23553,Middle East and North Africa
0.75473,5.033,99,2016,Greece,0.80029,0.0,1.24886,0.04127,0.05822,Western Europe
0.75602,4.996,100,2016,Tajikistan,0.53119,0.25998,0.48835,0.13509,0.43408,CIS
